Customer ID,Recency,Frequency,Monetary,R Score,F Score,M Score,RFM Score,Customer Segment,Recommendation
12346.0,326,17,-64.67999999999302,2,5,1,251,At Risk,"Launch re-engagement campaigns, targeted discounts, and reminders to bring customers back."
12347.0,3,8,5633.32,5,4,5,545,VIP Customer,"Provide premium offers, loyalty rewards, and personalized recommendations."
12348.0,76,5,2019.4,3,3,4,334,Regular Customer,Use personalized promotions and cross-selling to increase purchase frequency.
12349.0,19,5,4404.54,5,3,5,535,Regular Customer,Use personalized promotions and cross-selling to increase purchase frequency.
12350.0,311,1,334.4,2,1,2,212,Regular Customer,Use personalized promotions and cross-selling to increase purchase frequency.
12351.0,376,1,300.93,2,1,2,212,Regular Customer,Use personalized promotions and cross-selling to increase purchase frequency.
12352.0,37,13,1889.21,4,5,4,454,VIP Customer,"Provide premium offers, loyalty rewards, and personalized recommendations."
12353.0,205,2,406.76,2,2,2,222,Regular Customer,Use personalized promotions and cross-selling to increase purchase frequency.
12354.0,233,1,1079.4,2,1,3,213,Regular Customer,Use personalized promotions and cross-selling to increase purchase frequency.
12355.0,215,2,947.61,2,2,3,223,Regular Customer,Use personalized promotions and cross-selling to increase purchase frequency.
12356.0,23,6,6373.68,4,4,5,445,VIP Customer,"Provide premium offers, loyalty rewards, and personalized recommendations."
12357.0,34,3,18287.66,4,2,5,425,Recent Customer,Send welcome offers and personalized product recommendations to encourage a second purchase.
12358.0,2,5,3887.07,5,3,5,535,Regular Customer,Use personalized promotions and cross-selling to increase purchase frequency.
12359.0,8,14,8714.89,5,5,5,555,VIP Customer,"Provide premium offers, loyalty rewards, and personalized recommendations."
12360.0,53,9,4212.89,4,4,5,445,VIP Customer,"Provide premium offers, loyalty rewards, and personalized recommendations."
12361.0,288,4,511.25,2,3,2,232,At Risk,"Launch re-engagement campaigns, targeted discounts, and reminders to bring customers back."
12362.0,4,14,5284.58,5,5,5,555,VIP Customer,"Provide premium offers, loyalty rewards, and personalized recommendations."
12363.0,110,2,552.0,3,2,2,322,Regular Customer,Use personalized promotions and cross-selling to increase purchase frequency.
12364.0,8,4,1313.1,5,3,4,534,Regular Customer,Use personalized promotions and cross-selling to increase purchase frequency.
